enc;p5_1;p5_2;p5_3;p5_4;p5_5;p5_6;p5_7;p5_8;p5_9;p5_10;p5_11;p7_1;p7_2;p7_3;p7_4;p7_5;p7_6;p7_7;p8
4354;10;10;10;10;5;10;10;10;10;10;10;8;7;8;8;8;8;8;8
4355;7;7;7;7;4;7;7;7;9;9;9;9;9;9;9;9;9;9;6
4356;9;9;9;9;5;9;9;9;10;10;10;10;10;10;10;10;10;10;10
4357;8;10;10;10;4;10;10;10;1;10;10;8;8;8;8;8;8;8;5
4358;10;10;10;10;5;10;10;10;10;10;10;8;10;10;10;10;10;10;10
4359;10;10;10;10;5;10;10;10;10;10;10;9;10;10;10;10;10;10;10
4360;10;10;10;10;3;10;10;10;10;10;10;10;10;10;10;10;10;10;10
4361;10;10;10;10;7;10;10;10;10;10;10;9;9;9;9;9;9;9;10
4362;10;10;10;10;6;10;10;10;10;10;10;10;10;10;10;10;10;10;10
4363;8;8;9;9;3;9;9;9;9;9;9;10;10;10;10;10;10;10;10
4364;10;10;10;10;6;10;10;10;10;10;10;9;9;9;9;9;9;9;9
4365;10;10;10;10;3;10;10;10;10;10;10;9;9;9;9;9;9;9;10
4366;10;10;10;10;5;10;10;10;10;10;10;10;10;10;10;10;10;10;10
4367;10;10;10;10;3;10;10;10;10;10;10;10;10;10;10;10;10;10;10
4368;10;10;10;10;4;10;10;10;10;10;10;10;10;10;10;10;10;10;10
4369;10;10;9;9;5;9;9;9;9;10;10;10;10;10;10;10;10;10;10
4370;10;10;10;10;5;10;10;10;10;10;10;10;10;10;10;10;10;10;10
4371;10;10;10;10;5;10;10;10;10;10;10;8;9;9;9;9;9;9;10
4372;10;10;10;10;5;10;10;10;10;10;10;10;9;9;10;6;10;10;9
4373;10;10;10;10;5;10;10;10;10;10;10;10;10;10;10;10;10;10;10
4374;10;10;10;10;6;10;10;10;10;10;10;10;10;10;10;10;10;10;10
4420;6;7;6;8;7;7;7;6;6;7;7;7;7;7;7;7;7;7;7
4421;8;9;8;7;8;9;8;8;8;9;8;8;8;9;8;7;8;9;9
4422;8;9;9;8;8;9;8;9;9;9;9;7;8;9;8;8;8;8;9
4423;6;7;7;7;7;6;7;7;7;7;7;7;7;7;7;7;7;7;7
4424;6;7;8;6;7;8;7;7;8;7;7;6;7;7;6;6;7;6;7
4425;7;8;9;8;9;8;9;9;8;9;9;8;9;9;8;9;9;8;9
4426;8;7;8;7;6;7;8;7;8;7;7;8;7;8;7;8;7;8;7
4427;9;8;9;8;7;8;9;8;7;8;9;8;9;9;9;8;9;9;9
4428;7;8;7;6;6;7;8;7;6;7;7;7;7;7;7;7;7;7;7
4429;8;7;8;8;8;8;7;8;8;7;8;8;7;8;8;7;8;8;8
4430;6;7;6;7;7;6;6;7;6;6;6;6;7;6;6;6;6;6;7
4431;7;8;9;10;8;9;8;9;8;9;8;8;9;8;10;8;9;9;9
4432;8;9;10;9;8;9;10;9;9;8;9;8;9;8;9;8;9;9;9
4433;7;8;7;7;6;7;7;7;7;7;7;8;8;8;8;8;8;8;8
4434;7;8;7;8;7;7;7;7;7;8;7;7;7;7;7;7;7;7;7
4435;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
4436;6;7;6;7;5;6;7;6;6;5;6;6;5;6;7;6;6;6;7
4437;7;8;7;8;8;7;7;7;8;7;7;6;7;6;6;5;6;6;7
4438;7;7;8;8;9;8;9;8;8;8;9;8;8;8;8;8;8;8;8
4439;7;6;7;8;5;6;7;8;7;7;7;7;8;7;8;7;8;8;7
4440;6;7;8;7;6;7;8;7;6;7;7;7;7;7;7;7;7;7;8
4441;7;8;8;7;8;8;7;7;7;8;8;8;8;8;8;8;8;8;8
4442;7;8;7;6;7;6;7;8;7;8;7;7;8;7;7;8;7;7;8
4443;7;7;7;7;7;7;7;6;7;7;7;7;7;7;7;7;7;7;7
4444;7;8;9;8;9;8;7;8;9;8;8;8;9;8;8;9;9;8;8
4445;8;8;9;8;8;9;9;8;8;9;9;8;9;9;8;9;9;9;9
4446;7;8;9;8;6;7;8;9;8;8;8;8;7;8;7;8;8;8;8
4447;6;7;7;8;7;8;8;8;8;8;8;6;5;6;5;6;7;7;7
4448;7;6;7;6;6;7;7;7;6;7;7;7;7;7;7;7;7;7;7
4449;7;7;7;8;7;7;8;7;7;7;7;7;7;7;7;7;7;8;8
6001;6;6;6;6;1;7;6;6;5;6;6;6;6;6;6;6;6;6;6
6002;10;10;10;10;1;10;10;2;4;2;2;10;8;10;10;10;10;10;6
6003;1;1;1;2;1;5;6;2;5;2;3;5;8;10;5;10;6;5;1
6004;5;5;5;5;5;1;5;2;2;6;6;2;8;8;8;8;8;8;8
6005;5;7;8;7;2;7;7;6;5;7;8;9;9;8;7;7;9;9;5
6006;5;5;6;5;5;5;5;6;5;5;5;6;5;5;5;6;5;5;5
6007;7;7;6;7;6;8;8;6;6;7;6;6;7;7;6;6;6;6;6
6008;8;8;7;7;7;8;8;7;9;8;9;7;8;8;9;8;8;9;8
6009;9;10;10;10;2;10;10;9;10;10;10;8;9;9;9;8;9;9;10
6010;9;9;9;10;2;10;8;8;9;9;9;5;8;10;7;5;6;9;8
6011;8;8;8;8;8;8;8;8;8;8;8;10;10;10;10;10;10;10;9
6012;10;10;10;10;4;10;10;10;10;10;10;10;10;10;10;10;10;10;10
6013;3;7;7;9;5;10;10;10;10;10;5;4;5;10;9;9;10;10;4
6014;1;1;1;1;1;2;2;2;8;2;3;9;9;9;9;9;9;9;1
6015;8;8;8;8;6;8;9;5;8;8;8;7;8;8;8;9;8;9;10
6016;8;8;8;8;2;10;8;8;8;7;9;7;8;8;8;7;7;9;9
6017;9;9;9;9;2;9;9;7;9;8;9;8;8;8;9;9;9;9;10
6018;8;8;8;8;1;8;8;8;8;8;8;8;8;8;8;8;8;8;8
6019;8;8;8;8;8;8;8;8;9;8;9;9;8;9;8;9;8;9;8
6020;9;9;9;10;2;10;9;9;9;9;9;8;8;9;9;8;9;9;9
6021;9;9;8;9;2;9;9;9;7;8;9;8;7;8;8;7;8;9;7
6022;9;9;9;9;9;9;9;9;9;9;9;8;8;8;9;8;8;9;8
6023;9;9;9;9;2;9;9;8;8;8;8;8;7;8;8;8;8;8;8
6024;9;9;9;9;3;9;9;9;9;9;9;9;9;9;9;9;9;9;9
6025;9;9;9;9;3;9;9;9;9;9;9;8;8;8;8;8;8;8;9
6026;8;8;8;8;3;8;8;8;8;8;8;9;9;9;9;9;9;9;7
6027;9;9;9;9;2;9;5;5;5;8;7;9;9;9;9;9;9;9;10
6028;8;8;8;8;2;8;8;8;8;8;8;9;9;9;9;9;9;9;10
6029;9;9;9;9;2;9;9;9;9;9;9;10;10;10;10;10;10;10;10
6030;8;8;8;8;1;8;8;8;8;8;8;9;9;9;9;9;9;9;9
6031;10;10;10;10;4;10;10;10;10;10;10;10;10;10;10;10;10;10;10
6032;9;9;9;9;9;9;9;9;9;9;9;10;10;10;10;10;10;10;9
6033;9;9;9;9;2;9;9;9;9;9;9;10;10;10;10;10;10;10;10
6034;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
6035;9;9;9;9;2;9;9;9;9;9;9;8;8;8;8;8;8;8;8
6036;10;10;10;10;2;10;10;10;10;10;10;10;10;10;10;10;10;10;10
6037;9;9;9;9;2;9;9;9;9;9;9;9;9;9;9;9;9;9;9
6038;10;10;10;10;3;10;10;10;10;10;10;8;10;10;10;10;10;10;9
6039;7;6;7;8;1;9;8;8;8;8;8;9;9;9;9;9;9;9;9
6040;5;10;5;5;1;8;7;9;8;9;9;7;7;9;9;8;8;9;8
6041;10;10;10;10;5;10;10;9;10;10;10;8;10;10;10;9;10;10;10
6042;8;9;8;8;8;9;9;9;4;7;7;6;7;10;6;7;7;8;9
6043;8;8;8;2;9;9;8;9;8;9;8;8;8;8;9;9;9;9;8
6044;8;8;9;8;2;9;9;8;9;8;9;9;8;9;9;8;9;9;8
6045;8;8;8;9;2;9;9;8;8;9;8;9;8;9;8;8;8;8;8
6046;9;9;9;9;2;9;8;8;9;9;9;9;8;8;8;8;9;9;8
6047;9;9;9;9;2;9;9;8;9;9;9;9;8;8;9;8;9;9;10
6048;10;10;10;10;1;10;10;9;10;9;10;8;8;8;8;7;8;8;10
6049;9;9;9;9;2;9;9;8;9;8;9;7;8;8;9;8;8;9;9
6050;9;9;9;9;1;9;9;8;9;9;9;8;8;7;8;8;8;9;9
6051;9;9;9;9;2;9;9;9;9;9;9;9;9;9;9;8;8;9;10
6052;8;8;8;8;2;8;9;7;9;9;9;8;8;8;8;8;8;8;8
6053;9;8;8;9;9;10;9;10;10;10;10;9;8;8;9;9;10;9;10
6054;7;7;7;7;1;8;8;6;8;8;8;8;8;9;8;7;8;8;8
6055;10;10;10;10;10;10;10;5;10;10;10;9;9;9;9;8;10;9;10
6056;10;10;8;10;10;10;10;6;10;10;10;10;10;10;10;10;10;10;10
6057;8;8;9;9;9;9;8;7;9;9;9;9;8;9;9;8;9;8;8
6058;8;8;8;8;8;9;9;6;6;7;8;7;6;7;8;7;7;9;9
6059;10;10;10;10;10;10;10;8;10;10;10;8;8;8;9;5;9;9;9
6060;5;8;8;7;10;5;5;5;10;10;10;9;10;10;10;10;10;10;8
6061;8;9;9;9;1;8;9;9;5;9;9;9;9;9;9;8;8;8;8
6062;7;7;7;7;7;7;7;7;7;7;7;7;7;7;8;7;7;8;7
6063;8;10;10;10;10;10;10;4;10;9;10;9;10;10;10;9;9;10;9
6064;10;10;10;10;1;10;10;9;10;10;10;9;9;10;10;8;9;10;10
6065;5;5;5;8;1;7;7;6;8;8;7;6;6;8;7;6;6;6;8
6066;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
6067;8;8;8;10;1;9;9;8;6;7;7;9;10;10;9;9;9;9;8
6068;9;9;9;10;10;10;10;7;10;10;10;10;10;10;10;10;10;10;10
6069;10;10;10;10;10;10;10;10;10;10;10;9;9;9;9;9;9;9;9
6070;10;10;10;10;5;10;10;10;10;10;10;9;9;9;9;9;9;9;9
6071;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
6072;10;10;9;10;9;10;10;9;10;10;10;8;8;8;8;7;8;9;9
6073;5;10;10;10;9;10;9;10;10;10;10;10;10;10;10;10;10;10;10
6074;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
6075;10;10;10;10;10;10;10;10;10;10;10;7;9;10;9;10;10;10;10
6076;8;8;8;8;8;8;9;8;9;8;8;9;8;8;7;8;8;9;9
6077;10;10;10;10;10;10;10;8;10;10;10;7;8;8;8;9;8;8;7
6078;10;10;10;10;1;10;10;8;10;10;10;9;9;9;10;10;10;10;9
6079;9;9;9;9;9;5;10;10;9;9;9;9;9;9;9;9;9;9;10
6080;10;10;10;10;10;10;10;9;10;10;10;7;9;9;9;9;9;9;9
6081;10;10;10;10;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10
6082;9;9;9;8;2;10;8;9;10;9;10;8;9;9;9;9;9;9;10
6083;6;6;6;6;2;9;7;9;9;9;9;10;10;10;10;10;10;10;10
6099;7;8;8;9;3;9;9;10;9;9;9;7;8;9;9;8;8;10;6
6100;5;5;6;4;1;6;6;5;8;7;7;5;4;6;6;5;4;5;6
6101;10;10;10;10;1;9;10;8;10;10;10;10;10;10;10;10;10;10;10
6102;8;10;10;10;1;9;9;10;6;6;7;9;9;9;9;9;9;8;8
6103;10;10;10;10;2;10;10;10;10;10;10;10;10;10;10;10;10;10;10
6104;10;10;10;10;1;10;10;10;10;10;10;9;10;10;10;5;5;10;10
6105;8;10;10;9;1;9;9;10;10;10;10;9;10;10;10;9;8;9;10
6106;7;9;9;9;8;10;9;5;8;9;9;9;9;8;9;7;7;9;9
6107;8;8;8;10;3;8;8;10;10;9;8;10;8;8;10;7;8;10;9
6108;9;9;8;5;7;6;8;9;9;9;8;5;8;8;8;8;8;8;8
6109;7;7;7;7;3;7;7;7;7;7;7;5;5;5;6;6;5;5;7
6110;7;10;10;10;3;8;8;10;10;10;10;5;9;9;10;8;8;10;9
6111;10;9;6;9;1;6;6;8;8;7;7;7;8;7;7;5;5;6;8
6112;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
6113;7;5;5;7;1;3;5;10;10;10;7;5;5;10;10;10;10;10;7
6114;7;6;7;6;3;6;5;5;6;6;7;7;7;7;7;8;7;8;7
6115;9;8;7;7;1;7;9;9;8;9;7;8;8;9;10;10;7;9;8
6116;8;8;9;9;2;9;9;8;9;9;9;6;8;8;1;9;8;10;8
6117;5;10;8;10;1;5;10;1;10;10;10;8;10;10;10;10;10;10;9
6118;10;8;10;10;4;7;10;4;9;1;3;8;9;10;10;10;10;10;10
6119;8;6;8;5;1;6;8;10;9;9;9;9;9;10;8;8;9;4;8
6120;7;8;7;9;2;9;10;10;10;9;9;9;10;10;10;10;10;10;8
6121;9;9;9;9;2;9;9;9;9;9;9;6;9;9;10;8;8;10;9
6122;9;10;9;9;2;7;7;8;8;8;9;7;7;8;8;8;8;8;9
6123;9;9;9;10;1;9;10;10;10;10;9;8;9;9;1;9;9;10;9
6124;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
6125;10;10;10;10;1;9;10;10;10;10;10;8;10;10;10;1;10;10;10
6126;9;9;9;9;1;9;9;8;8;9;9;9;9;9;9;9;9;9;9
6127;6;6;8;8;2;5;7;9;9;9;9;7;9;9;9;9;9;8;7
6128;8;8;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;8
6129;7;7;7;7;2;7;8;4;7;7;7;6;7;7;7;8;8;7;7
6130;10;10;10;10;2;10;10;10;10;10;10;8;6;6;9;8;10;10;10
6131;9;9;9;9;2;10;9;10;10;10;10;6;5;6;9;5;3;10;8
6132;10;10;10;10;1;8;8;10;10;10;10;6;10;10;10;10;10;10;10
6133;8;7;8;7;4;7;7;10;8;7;6;6;7;6;9;4;4;8;8
6134;6;8;8;8;1;7;7;9;9;8;8;4;8;8;8;9;7;9;7
6135;9;9;9;9;1;9;9;9;9;9;9;8;8;8;8;10;10;10;10
6136;8;8;8;8;1;8;8;8;8;9;9;8;6;6;6;6;8;8;8
6137;8;3;7;4;2;7;2;4;8;8;8;6;7;7;5;8;8;5;4
6138;5;4;4;6;3;5;5;4;3;2;4;4;6;6;7;5;4;5;4
6175;8;8;8;7;1;7;8;8;8;7;7;7;8;8;9;6;7;9;8
6176;8;7;6;7;3;8;6;7;8;7;8;8;7;8;6;7;8;6;7
6177;7;8;7;7;1;7;8;6;7;7;8;7;9;8;8;8;7;9;6
6178;7;8;6;8;7;8;8;7;8;7;8;7;8;7;9;8;8;9;6
6179;8;7;7;7;3;7;8;8;7;7;8;6;7;6;7;7;7;9;6
6180;1;3;3;5;2;2;2;5;5;4;4;3;6;7;8;8;8;8;3
6181;8;7;7;8;2;9;7;8;8;7;8;8;8;8;8;8;7;7;8
6182;7;8;8;8;1;9;8;8;7;9;8;7;8;8;6;8;7;7;8
6183;8;7;8;7;7;1;8;9;8;8;7;8;9;8;9;7;8;9;8
6184;7;8;8;8;1;7;8;9;8;7;8;7;7;8;8;7;6;9;8
6185;8;8;8;8;8;2;7;8;9;8;8;8;7;7;8;7;7;7;8
6186;9;8;8;9;2;9;5;8;9;8;9;8;9;8;9;8;7;8;9
6187;9;9;9;9;2;9;9;9;9;9;9;4;5;5;5;5;5;5;9
6188;8;8;5;9;1;7;6;6;6;6;2;6;6;6;7;2;6;6;8
6189;8;7;8;7;1;8;9;9;8;7;8;6;7;8;7;7;8;7;7
6190;8;8;9;9;1;9;7;9;9;7;7;7;8;7;7;5;8;9;8
6191;7;7;8;7;1;5;8;9;9;8;7;8;8;9;9;6;7;9;8
6192;7;8;8;8;3;7;6;8;7;6;8;6;6;7;8;7;5;6;7
6193;10;10;10;10;2;10;10;10;10;10;10;6;8;8;8;7;7;5;10
6194;8;7;7;7;2;6;7;8;9;8;8;7;8;8;7;7;8;8;7
6195;10;10;9;10;2;10;8;8;7;7;7;7;7;8;8;7;7;8;7
6196;9;7;8;7;2;7;9;8;8;7;8;7;6;7;8;7;8;8;7
6197;8;9;7;10;1;7;7;7;9;7;7;8;8;9;8;7;8;7;8
6198;8;6;9;8;3;8;7;6;8;7;9;7;8;10;8;7;7;8;7
6199;8;7;8;9;2;8;7;6;8;7;9;7;7;7;6;8;7;8;7
6200;9;8;5;9;1;10;9;8;8;6;6;8;10;10;9;6;8;7;8
6201;8;8;7;8;1;10;10;8;9;6;7;8;6;9;7;6;7;9;7
6202;10;10;9;10;2;8;9;9;9;9;8;8;7;8;8;6;4;8;8
6203;8;7;9;8;2;9;10;9;6;8;5;9;9;7;6;4;3;10;8
6204;8;8;7;10;2;6;7;5;7;7;8;2;5;10;10;7;9;9;10
6205;9;8;8;10;3;8;8;8;8;6;6;6;6;7;6;6;6;6;8
6206;8;8;8;10;2;7;8;9;9;8;8;9;9;7;7;7;8;8;8
6207;10;7;7;9;4;7;7;8;9;7;7;5;8;7;6;6;6;7;7
6208;8;8;9;7;2;8;7;5;8;7;6;6;7;8;9;8;7;8;7
6209;8;8;9;9;2;9;9;7;7;9;7;8;7;6;5;7;6;8;9
6210;8;8;7;7;2;10;10;8;8;7;8;7;7;7;7;8;7;7;7
6211;7;8;8;8;2;9;10;8;8;8;7;7;8;8;8;8;8;9;8
6212;10;10;10;10;2;10;10;10;10;10;10;7;7;9;9;9;8;7;8
6213;7;8;6;8;2;10;8;7;6;7;7;7;6;10;7;7;8;7;7
6214;7;7;6;7;2;7;7;8;7;8;7;7;8;7;8;7;7;8;7
6215;8;7;7;8;7;6;7;7;8;7;8;8;8;8;8;8;8;8;8
6216;8;7;7;7;3;8;7;8;8;8;8;8;8;9;9;7;6;9;7
6217;7;8;10;8;2;7;8;8;7;7;8;7;8;8;8;8;6;9;8
6218;10;6;10;10;2;7;7;7;7;5;3;6;8;10;10;10;10;10;10
6219;10;9;10;10;2;10;6;7;7;6;6;8;7;6;8;9;8;9;8
6220;8;7;8;8;7;8;8;8;9;7;8;7;7;7;8;7;6;8;7
6221;7;8;7;8;7;8;8;9;9;8;8;8;9;8;9;7;6;9;8
6222;7;7;8;8;8;10;8;8;8;8;8;7;7;8;8;7;8;7;7
6223;8;7;7;9;7;8;8;7;8;6;7;8;7;7;7;7;7;8;8
6224;8;8;10;8;9;8;9;7;8;8;8;7;9;10;9;9;9;9;9
6225;10;7;10;10;10;10;10;10;10;10;10;8;7;8;9;7;8;8;8
6226;10;10;7;9;9;6;10;8;8;8;8;10;6;8;7;9;4;10;9
6227;7;8;7;8;6;7;7;8;8;7;7;7;7;8;8;7;7;8;7
6228;7;7;8;7;8;8;8;9;7;7;8;8;7;8;8;8;8;7;8
6229;7;8;7;7;2;7;9;9;9;9;8;5;5;5;7;10;9;10;8
6230;8;9;10;8;10;10;8;8;8;8;8;8;6;6;6;5;6;8;9
6231;10;10;8;8;1;5;9;3;6;6;5;6;6;6;6;6;6;6;5
6232;2;5;7;10;1;3;1;6;2;3;8;3;5;5;6;5;5;5;6
6233;6;6;9;8;6;8;6;8;9;6;6;7;6;9;7;7;6;6;6
6234;8;7;8;4;2;4;6;6;5;5;5;6;10;7;7;7;4;6;5
6235;7;7;8;8;3;9;8;9;7;8;8;8;7;8;8;7;5;8;6
6284;8;9;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;5
6285;7;6;6;8;5;5;4;6;6;7;7;5;7;7;7;7;7;8;6
6286;4;6;5;8;1;6;7;8;4;2;2;2;8;7;8;6;7;6;5
6287;6;9;9;9;1;6;7;2;5;6;6;8;8;10;10;8;8;10;6
6288;10;10;10;10;1;10;10;10;10;10;10;4;5;5;1;5;5;7;1
6289;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
6290;10;10;8;10;5;10;9;8;10;9;9;10;10;10;10;10;9;10;10
6291;1;10;10;10;1;4;7;10;10;4;4;8;10;10;10;10;10;10;7
6292;9;9;10;10;1;10;10;9;10;10;10;10;10;10;9;9;10;10;10
6293;8;8;8;10;1;7;8;5;9;9;9;8;8;8;5;6;6;8;7
6294;8;8;5;9;1;7;7;8;7;8;8;8;8;7;8;6;7;8;8
6295;9;9;9;9;1;9;9;6;8;9;9;9;9;9;8;8;8;8;9
6296;10;10;10;10;1;10;10;9;10;10;10;10;10;10;10;9;9;10;10
6297;9;9;9;9;1;9;9;9;9;9;9;9;9;9;9;9;9;9;10
6298;9;9;9;9;1;9;9;8;10;9;9;9;6;9;9;8;8;8;8
6299;10;10;10;10;1;9;9;10;10;10;10;9;10;10;10;10;10;10;10
6300;8;8;8;8;1;8;8;5;8;8;8;8;8;8;8;10;10;10;8
6301;8;9;10;10;1;10;10;7;9;9;9;8;9;9;10;10;10;10;8
6302;2;5;3;10;1;7;7;3;5;5;5;7;6;9;9;4;4;9;7
6303;9;10;9;10;1;9;9;10;10;10;10;8;9;9;8;8;8;8;8
6304;7;9;5;10;1;7;7;7;7;9;9;5;8;9;10;9;9;7;7
6305;9;9;10;10;1;10;10;10;10;10;10;5;10;10;10;10;10;10;10
6306;10;10;10;10;1;10;9;10;10;10;10;10;10;10;10;10;10;10;10
6307;10;10;10;10;1;10;10;10;10;10;10;4;8;10;9;8;8;10;9
6308;7;8;8;7;1;7;7;8;8;7;7;5;6;6;7;6;7;7;7
6309;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
6310;9;9;9;10;1;10;10;10;10;10;10;10;1;10;10;10;10;10;10
6311;9;9;9;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
6312;9;9;9;9;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9
6313;9;8;9;9;1;9;9;9;9;9;9;8;9;10;10;7;8;9;9
6314;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
6315;10;10;10;9;2;10;10;5;10;10;10;8;9;10;8;9;10;10;9
6316;8;9;10;9;1;9;9;8;10;9;9;8;9;9;9;5;5;9;9
6317;5;5;9;9;1;7;7;7;7;7;7;8;8;8;8;8;8;8;7
6318;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
6319;9;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;9
6320;7;7;8;8;1;8;8;8;8;8;8;8;8;9;9;9;9;9;8
6321;8;10;10;10;1;10;10;9;9;9;9;10;10;10;10;10;10;10;10
6322;5;5;7;7;1;7;7;5;6;6;6;10;10;10;10;7;7;9;10
6323;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10
6324;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;8
6325;10;10;10;10;1;9;10;9;9;9;9;8;9;9;10;8;9;9;8
6326;8;8;7;9;1;8;8;10;10;10;10;10;10;10;10;10;10;10;7
6327;9;8;8;10;1;8;9;10;10;10;10;7;9;9;7;6;8;10;8
6328;10;10;10;10;1;10;10;10;10;10;10;10;10;10;10;8;10;10;10
6329;9;9;9;9;1;8;9;10;10;10;10;8;9;9;10;9;9;10;9
6330;8;6;6;6;1;6;6;5;7;7;7;8;8;8;9;9;9;9;8
6331;5;4;10;10;1;6;4;2;8;9;9;8;9;9;7;6;5;6;7
6332;8;8;8;8;1;9;8;8;8;8;8;8;8;8;8;9;9;9;8
6333;10;10;10;10;1;10;9;10;10;10;10;10;10;10;10;5;8;9;10
6334;8;10;10;10;1;10;10;10;10;10;10;7;10;10;10;10;10;10;10
6335;9;9;9;9;1;9;10;10;10;10;10;8;9;10;10;9;9;10;10
6376;10;10;10;10;10;10;10;5;10;10;10;8;9;10;10;10;10;10;10
6377;5;6;3;7;5;7;5;4;6;5;4;3;5;6;8;7;7;5;10
6378;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1
6379;9;8;8;9;6;9;8;9;9;9;9;9;10;10;9;8;8;9;8
6380;10;9;10;9;3;9;10;8;9;9;9;10;9;9;8;8;9;8;9
6381;9;10;9;10;6;9;10;9;9;10;9;9;10;10;9;9;8;9;9
6382;9;9;9;10;10;5;9;9;9;9;9;10;10;10;9;9;8;9;10
6383;9;9;10;7;9;9;10;5;9;9;9;9;9;9;10;10;9;9;9
6384;9;9;10;10;7;9;9;9;9;10;9;9;10;10;10;9;9;10;9
6385;9;9;9;10;6;9;9;9;10;9;9;8;9;9;10;8;9;9;8
6386;9;9;9;9;8;9;9;9;1;9;9;9;9;10;10;9;10;9;9
6387;8;9;9;10;9;10;9;9;9;9;9;9;10;10;10;10;10;10;10
6388;9;10;10;10;2;10;9;9;10;10;10;9;10;10;10;9;9;9;9
6389;9;9;10;10;8;9;9;10;10;9;9;9;9;10;10;9;9;9;9
6390;10;9;9;10;1;9;9;10;9;9;10;9;9;10;9;9;9;9;10
6391;9;9;9;10;5;9;9;10;9;10;9;9;10;9;9;9;10;9;9
6392;9;9;9;10;6;10;9;10;9;9;9;9;10;10;10;9;10;10;9
6393;9;9;10;10;8;9;9;9;10;10;9;9;9;9;10;10;9;10;9
6394;10;9;10;10;9;9;9;6;5;9;10;10;8;9;10;10;10;10;10
6395;10;9;10;10;2;9;8;9;10;10;10;7;10;10;8;10;10;9;9
6396;10;9;10;9;7;8;9;9;10;9;10;10;9;9;10;8;8;10;10
6397;10;10;10;10;2;9;10;10;9;10;10;9;9;10;9;8;9;9;10
6398;7;7;8;8;8;9;7;8;8;9;9;5;9;9;9;9;6;9;8
6399;9;10;9;10;7;9;9;9;10;9;9;9;9;9;9;9;9;9;9
6400;8;8;8;9;7;9;9;7;7;9;9;9;9;9;10;9;8;9;7
6401;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
6402;5;7;7;8;6;9;7;8;7;7;6;9;10;9;9;8;9;9;6
6403;5;6;4;6;5;7;7;6;4;4;5;8;8;9;8;9;8;8;5
6404;7;5;7;7;2;6;7;1;1;5;5;6;6;8;6;7;5;8;6
6405;5;5;5;6;5;4;4;5;6;6;7;6;7;6;6;8;8;7;5
6406;1;5;7;7;7;2;4;3;3;3;4;7;7;6;7;7;7;7;5
6407;5;5;8;8;8;9;9;2;2;8;8;9;9;9;9;9;9;9;2
6408;1;1;2;5;1;1;3;1;5;5;5;9;10;9;8;9;10;9;1
6409;3;1;2;7;2;6;1;9;9;9;8;8;9;9;9;10;10;10;1
6410;10;10;10;10;9;10;10;4;9;10;10;8;7;9;9;9;8;9;7
6411;10;10;10;10;7;10;10;9;9;10;9;10;10;10;9;10;10;10;9
6412;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
6413;9;10;10;10;6;9;9;9;8;9;10;6;8;7;9;5;6;9;9
6414;9;10;9;10;9;6;8;9;10;10;9;9;9;10;10;10;9;9;8
6415;7;7;5;3;2;5;6;5;5;6;6;9;9;10;9;8;8;9;3
6416;10;10;10;10;9;10;9;9;9;9;10;9;9;9;10;9;9;10;10
6417;10;10;10;10;7;10;10;10;10;9;9;10;10;10;9;10;9;9;10
6471;8;8;8;8;8;8;8;8;8;8;8;9;9;9;9;9;9;9;9
6472;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
6473;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
6474;9;9;9;9;5;9;9;9;9;9;9;9;9;9;9;9;9;9;9
6475;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9
6476;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;10
6477;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;10
6478;9;9;9;9;9;9;9;9;9;9;9;8;9;8;9;9;8;9;9
6479;9;10;9;10;10;5;9;8;10;10;10;9;10;10;9;9;9;9;8
6480;10;8;10;10;5;8;9;10;10;10;10;9;10;10;9;9;10;9;8
