enc;p5_1;p5_2;p5_3;p5_4;p5_5;p5_6;p5_7;p5_8;p5_9;p5_10;p5_11;p7_1;p7_2;p7_3;p7_4;p7_5;p7_6;p7_7;p8
378;10;10;10;10;8;10;10;10;10;10;10;9;10;10;10;10;10;10;10
379;8;8;8;8;7;8;8;8;8;8;8;8;9;9;9;9;9;9;10
380;9;9;9;9;8;9;9;9;9;9;9;8;9;9;9;9;9;9;7
381;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;10
382;10;10;10;10;8;10;10;10;10;10;10;9;10;10;10;10;10;10;10
383;10;10;10;9;10;10;10;10;10;10;10;9;9;9;9;9;9;9;10
384;9;9;9;9;7;9;9;9;9;9;9;9;9;9;9;9;9;9;10
385;9;9;9;9;6;9;9;9;9;9;9;9;9;9;9;9;9;9;10
386;9;9;9;9;6;9;9;9;9;9;9;7;9;9;9;9;9;9;10
387;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;10
388;9;9;9;9;7;9;9;9;9;9;9;9;9;9;9;9;9;9;10
389;10;10;10;10;8;10;10;10;10;10;10;9;9;9;9;9;9;9;9
390;9;9;9;9;7;9;9;9;9;9;9;9;9;9;9;9;9;9;10
391;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;7
392;9;9;9;9;7;9;9;9;9;9;9;9;10;10;10;10;10;10;10
393;8;8;8;8;6;8;8;8;8;8;8;7;8;8;8;8;8;8;8
394;8;8;8;8;7;8;8;8;8;8;8;8;9;9;9;9;9;9;10
395;10;10;10;10;8;10;10;10;10;10;10;8;9;9;9;9;9;9;10
396;9;9;9;9;8;9;9;9;9;9;9;7;9;9;9;9;9;9;10
397;9;9;9;9;6;9;9;9;9;9;9;8;8;8;8;8;8;8;10
398;9;9;9;9;7;9;9;9;9;9;9;10;10;10;10;10;10;10;10
399;9;9;9;9;8;9;9;9;9;9;9;7;9;9;9;9;9;9;10
428;9;8;8;8;7;7;9;9;9;9;9;8;8;8;8;8;8;8;9
429;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8
430;8;8;8;8;8;8;8;8;8;8;8;9;9;9;9;9;9;9;9
431;8;8;8;8;8;8;8;8;8;8;8;7;7;7;7;8;7;7;7
432;6;5;5;5;5;5;5;8;5;5;5;8;8;8;8;8;8;8;5
433;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
434;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
435;6;9;9;9;7;7;8;10;10;10;10;8;5;5;8;4;4;8;7
436;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
437;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;8
438;10;10;10;10;10;10;10;8;8;8;8;8;8;8;8;8;8;8;8
439;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;10
440;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
441;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
442;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
443;9;9;9;9;9;9;9;9;9;9;9;8;8;8;8;8;8;8;8
444;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
445;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
446;8;8;8;8;8;8;8;8;8;8;8;10;10;10;10;10;10;10;10
447;10;10;10;10;10;10;10;10;10;10;10;8;8;8;8;8;8;8;8
448;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
449;5;5;5;5;5;5;5;5;5;5;5;7;7;7;7;7;7;7;5
450;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;8
451;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9
452;8;8;8;8;8;8;8;8;8;8;8;9;9;9;9;9;9;9;9
453;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
454;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
455;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
456;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
457;8;8;8;8;8;8;8;8;8;8;8;9;9;9;9;9;9;9;9
458;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
459;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
460;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
461;6;6;6;6;6;6;6;6;6;6;6;8;8;8;8;8;8;8;6
462;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
463;9;9;9;9;9;9;9;9;9;9;9;10;10;10;10;10;10;10;10
464;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
465;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
466;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
467;6;6;6;6;6;6;6;6;6;6;6;8;8;8;8;8;8;8;7
468;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
504;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
505;10;10;10;10;10;10;10;10;10;10;10;5;10;10;8;10;6;10;8
506;8;8;8;8;9;9;9;8;9;9;9;4;4;5;6;7;7;6;7
507;10;10;10;10;10;10;10;10;10;10;10;9;10;10;10;10;10;10;10
508;9;9;9;9;9;9;9;10;10;10;10;7;9;9;7;9;9;7;8
509;10;10;10;10;10;10;10;7;10;10;10;9;10;10;10;10;10;10;10
510;10;10;10;10;10;10;10;10;10;10;10;5;10;10;10;10;10;10;10
511;10;10;10;10;10;10;10;10;10;10;10;8;7;10;10;10;10;10;10
512;9;9;9;9;9;9;9;9;9;9;9;5;2;5;8;5;8;8;8
513;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
514;10;10;10;10;10;10;10;10;10;10;10;8;10;10;10;10;10;10;10
515;10;10;9;8;10;9;10;10;10;10;10;7;8;8;8;9;9;8;10
516;10;10;9;9;8;8;7;10;10;10;10;10;10;10;10;10;10;10;10
517;8;8;8;8;8;8;10;10;8;8;8;10;10;10;10;10;9;9;8
518;9;9;9;8;8;7;9;7;10;10;8;10;10;10;10;10;10;10;8
519;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;8
520;10;10;10;9;9;9;10;10;9;9;9;9;9;9;9;8;8;9;10
521;10;10;10;10;10;10;10;9;9;9;9;10;10;10;10;8;8;10;8
522;9;9;9;9;9;8;8;9;9;9;9;9;9;9;9;8;8;9;10
523;6;6;6;6;6;6;8;10;10;10;10;9;9;9;9;8;8;9;7
524;9;9;9;10;9;9;10;10;9;9;9;9;9;9;10;10;10;10;8
525;9;9;9;10;9;9;10;10;9;9;9;10;10;10;10;10;10;10;9
526;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9
527;9;9;9;10;10;10;10;9;10;10;10;10;10;10;10;10;10;10;10
528;10;10;10;9;9;7;8;9;9;9;9;10;10;10;9;9;8;8;10
529;9;9;9;10;10;10;10;10;8;10;10;10;10;10;10;10;10;10;9
530;7;7;7;8;8;8;10;10;8;9;9;8;8;8;8;8;8;8;8
531;7;7;7;7;7;7;9;9;8;8;8;8;8;8;10;8;10;10;8
532;10;10;10;10;9;9;9;9;9;9;9;10;10;10;10;10;9;10;10
533;10;10;10;9;6;8;8;8;8;8;8;10;10;9;9;9;10;10;10
534;10;10;10;9;9;9;10;10;9;9;9;9;9;9;9;9;8;9;10
535;10;10;10;10;9;9;10;10;9;9;9;10;10;10;9;8;8;9;10
536;9;9;9;9;9;9;9;10;9;10;10;9;8;9;8;9;9;5;9
580;7;7;8;5;8;8;8;7;7;8;8;7;8;9;8;9;9;8;7
